bin,encoder_phase_counts,detrended_error_arcsec
3.000000000000000000e+02,9.830400000000000000e+04,3.262017974876611248e+01
3.010000000000000000e+02,9.863168000000000757e+04,3.305930957484809340e+01
3.020000000000000000e+02,9.895936000000000058e+04,3.343459034720283540e+01
3.030000000000000000e+02,9.928704000000000815e+04,3.309001022933254177e+01
3.040000000000000000e+02,9.961472000000000116e+04,3.180779552475653915e+01
3.050000000000000000e+02,9.994240000000000873e+04,3.108764350260200970e+01
3.060000000000000000e+02,1.002700800000000017e+05,3.186072919078821997e+01
3.070000000000000000e+02,1.005977600000000093e+05,3.239167293414442383e+01
3.080000000000000000e+02,1.009254400000000023e+05,3.153348737649465150e+01
3.090000000000000000e+02,1.012531199999999953e+05,3.057929811271293374e+01
3.100000000000000000e+02,1.015808000000000029e+05,2.985201751494360067e+01
3.110000000000000000e+02,1.019084799999999959e+05,2.999860763679384945e+01
3.120000000000000000e+02,1.022361600000000035e+05,3.025427360756242479e+01
3.130000000000000000e+02,1.025638399999999965e+05,2.980764096674284858e+01
3.140000000000000000e+02,1.028915200000000041e+05,2.882266869973837586e+01
3.150000000000000000e+02,1.032191999999999971e+05,2.791922667578281292e+01
3.160000000000000000e+02,1.035468800000000047e+05,2.719525330767243076e+01
3.170000000000000000e+02,1.038745599999999977e+05,2.732003654144928717e+01
3.180000000000000000e+02,1.042022400000000052e+05,2.736554034788628087e+01
3.190000000000000000e+02,1.045299199999999983e+05,2.626519883852438397e+01
3.200000000000000000e+02,1.048576000000000058e+05,2.505107338727116328e+01
3.210000000000000000e+02,1.051852799999999988e+05,2.397324272623218278e+01
3.220000000000000000e+02,1.055129600000000064e+05,2.364227847907325142e+01
3.230000000000000000e+02,1.058406399999999994e+05,2.359599652335886688e+01
3.240000000000000000e+02,1.061683200000000070e+05,2.341217874553902334e+01
3.250000000000000000e+02,1.064960000000000000e+05,2.244494331939948140e+01
3.260000000000000000e+02,1.068236800000000076e+05,2.120127748974011084e+01
3.270000000000000000e+02,1.071513600000000006e+05,2.074060865183399116e+01
3.280000000000000000e+02,1.074790400000000081e+05,2.149317905794892525e+01
3.290000000000000000e+02,1.078067200000000012e+05,2.165397747182814214e+01
3.300000000000000000e+02,1.081344000000000087e+05,2.062931427525177597e+01
3.310000000000000000e+02,1.084620800000000017e+05,1.924054426723013833e+01
3.320000000000000000e+02,1.087897600000000093e+05,1.881563262764341360e+01
3.330000000000000000e+02,1.091174400000000023e+05,1.978924756601413648e+01
3.340000000000000000e+02,1.094451199999999953e+05,2.029081319801447947e+01
3.350000000000000000e+02,1.097728000000000029e+05,1.965096268734111362e+01
3.360000000000000000e+02,1.101004799999999959e+05,1.830181516217367488e+01
3.370000000000000000e+02,1.104281600000000035e+05,1.726587132273196090e+01
3.380000000000000000e+02,1.107558399999999965e+05,1.770705788622985111e+01
3.390000000000000000e+02,1.110835200000000041e+05,1.825670131832862708e+01
3.400000000000000000e+02,1.114111999999999971e+05,1.772531485820051600e+01
3.410000000000000000e+02,1.117388800000000047e+05,1.659556631631396684e+01
3.420000000000000000e+02,1.120665599999999977e+05,1.561710290172254467e+01
3.430000000000000000e+02,1.123942400000000052e+05,1.583005563008231142e+01
3.440000000000000000e+02,1.127219199999999983e+05,1.646827794309839632e+01
3.450000000000000000e+02,1.130496000000000058e+05,1.627260529199532968e+01
3.460000000000000000e+02,1.133772799999999988e+05,1.562134861340457981e+01
3.470000000000000000e+02,1.137049600000000064e+05,1.457091729302611149e+01
3.480000000000000000e+02,1.140326399999999994e+05,1.431612607159104122e+01
3.490000000000000000e+02,1.143603200000000070e+05,1.501468990667159886e+01
3.500000000000000000e+02,1.146880000000000000e+05,1.513393499714826085e+01
3.510000000000000000e+02,1.150156800000000076e+05,1.436472938522668841e+01
3.520000000000000000e+02,1.153433600000000006e+05,1.333354632184732047e+01
